Date, Open, High, Low, Close, Volume
15-Jan-14,163.66,164.80,163.59,164.57,7783346
14-Jan-14,162.74,163.47,162.37,163.45,7340947
13-Jan-14,163.90,164.28,162.14,162.24,10678092
10-Jan-14,164.56,164.69,163.52,164.18,7497166
9-Jan-14,164.95,164.99,163.52,164.19,8218113
8-Jan-14,164.70,164.83,163.91,164.35,9464213
7-Jan-14,164.66,165.29,164.52,164.97,5390671
6-Jan-14,164.99,165.06,163.71,163.89,7447532
3-Jan-14,164.40,164.87,164.04,164.39,6127622
2-Jan-14,164.79,165.01,163.84,164.11,9294896
31-Dec-13,164.94,165.51,164.81,165.47,5669786
30-Dec-13,164.55,164.68,164.40,164.59,4043646
27-Dec-13,164.76,164.92,164.22,164.47,6177212
26-Dec-13,163.60,164.49,163.58,164.46,4971613
24-Dec-13,162.72,163.26,162.59,163.16,2461988
23-Dec-13,162.57,162.85,162.33,162.62,4992829
20-Dec-13,161.62,162.53,161.61,162.01,7978604
19-Dec-13,161.46,162.01,161.28,161.88,8020368
18-Dec-13,159.16,161.79,158.11,161.76,15336510
17-Dec-13,159.28,159.29,158.39,158.78,6004477
16-Dec-13,158.35,159.37,158.25,158.90,7080032
13-Dec-13,157.56,157.97,157.10,157.65,8886480
12-Dec-13,158.21,158.43,157.08,157.47,7078711
11-Dec-13,159.84,159.90,158.23,158.31,7906687
10-Dec-13,159.80,160.19,159.64,159.72,4047640
9-Dec-13,160.25,160.53,160.11,160.23,3975579
6-Dec-13,159.53,160.18,159.13,160.16,6346575
5-Dec-13,158.45,158.89,158.01,158.12,5829475
4-Dec-13,158.46,159.52,157.83,158.76,7140816
3-Dec-13,159.23,159.62,158.46,158.99,8662619
2-Dec-13,160.76,160.84,159.71,159.92,5658529
29-Nov-13,161.11,161.58,160.58,160.72,2887856
27-Nov-13,160.79,160.94,160.41,160.85,6272842
26-Nov-13,160.54,160.97,160.46,160.50,5236551
25-Nov-13,160.81,160.85,160.30,160.61,5118980
22-Nov-13,159.83,160.43,159.48,160.40,4467261
21-Nov-13,159.29,159.88,159.17,159.86,4582399
20-Nov-13,159.55,159.88,158.35,158.77,8401131
19-Nov-13,159.58,159.93,159.09,159.33,5017290
18-Nov-13,159.71,159.95,159.07,159.44,5239871
15-Nov-13,158.57,159.30,158.48,159.30,6530114
14-Nov-13,158.10,158.81,157.95,158.73,6935653
13-Nov-13,156.52,158.12,156.50,158.06,5062909
12-Nov-13,157.42,157.72,156.87,157.37,4097359
11-Nov-13,157.33,157.73,157.15,157.61,3798072
8-Nov-13,155.66,157.49,155.58,157.49,7599007
7-Nov-13,157.72,157.80,155.68,155.85,10211049
6-Nov-13,156.49,157.29,156.37,157.22,7548412
5-Nov-13,155.28,156.18,154.87,155.89,5442826
4-Nov-13,156.26,156.36,155.53,156.06,4043078
1-Nov-13,155.58,156.15,155.08,155.86,5910058
31-Oct-13,155.61,156.18,155.10,155.29,8159868
30-Oct-13,156.73,156.87,155.37,155.87,6100193
29-Oct-13,155.71,156.50,155.62,156.50,5783908
28-Oct-13,155.20,155.65,154.99,155.37,4971630
25-Oct-13,154.91,155.45,154.79,155.45,4563018
24-Oct-13,154.19,154.95,154.10,154.80,5081864
23-Oct-13,153.81,154.03,153.32,153.82,5430973
22-Oct-13,154.03,154.86,153.82,154.25,7503562
21-Oct-13,153.69,153.76,153.27,153.53,3590239
18-Oct-13,153.66,153.80,152.89,153.60,7715293
17-Oct-13,152.11,153.59,152.05,153.48,9925252
16-Oct-13,152.37,153.56,152.24,153.52,8714823
15-Oct-13,152.60,152.80,151.34,151.34,8144669
14-Oct-13,151.19,152.88,151.08,152.80,6470077
11-Oct-13,150.92,152.22,150.76,152.17,8186015
10-Oct-13,149.14,151.01,149.09,150.96,12792218
9-Oct-13,147.69,148.32,146.96,147.78,11082481
8-Oct-13,149.00,149.14,147.50,147.53,10355530
7-Oct-13,149.12,149.85,148.91,149.00,6083485
4-Oct-13,149.68,150.56,149.43,150.43,6867840
3-Oct-13,150.66,150.76,149.16,149.67,10950517
2-Oct-13,150.90,151.10,150.15,150.98,8695702
1-Oct-13,151.00,151.77,150.77,151.62,8616254
30-Sep-13,150.79,151.54,150.45,151.00,9343158
27-Sep-13,152.30,152.44,151.76,152.21,6844930
26-Sep-13,152.70,153.54,152.47,152.95,5028414
25-Sep-13,153.26,153.39,152.19,152.42,7189585
24-Sep-13,153.74,154.02,152.95,153.06,5774861
23-Sep-13,154.11,154.32,153.32,153.71,8588737
20-Sep-13,156.16,156.19,154.30,154.30,9380965
19-Sep-13,156.87,156.92,156.22,156.32,7628493
18-Sep-13,155.16,157.06,154.65,156.69,9665199
17-Sep-13,155.02,155.51,154.98,155.29,4519118
16-Sep-13,155.33,155.49,154.66,154.94,6716534
13-Sep-13,153.34,153.80,153.21,153.69,4829525
12-Sep-13,153.33,153.41,152.78,153.03,5556597
11-Sep-13,151.82,153.18,151.77,153.15,6996435
10-Sep-13,151.47,151.82,151.10,151.79,7917010
9-Sep-13,149.50,150.78,149.48,150.47,4342170
6-Sep-13,149.70,149.97,147.77,149.09,8931210
5-Sep-13,149.18,149.71,149.02,149.12,6021768
4-Sep-13,148.02,149.41,147.82,149.18,4578200
3-Sep-13,148.88,149.20,147.61,148.11,5431151
30-Aug-13,148.42,148.42,147.43,147.85,6327760
29-Aug-13,148.02,148.98,147.82,148.25,4696253
28-Aug-13,147.42,148.44,147.37,148.04,4844948
27-Aug-13,148.19,148.74,147.41,147.50,11407493
26-Aug-13,149.83,150.27,149.19,149.21,5770144
23-Aug-13,149.59,150.01,149.06,149.83,7597376
22-Aug-13,148.86,149.61,148.77,149.40,4234644
21-Aug-13,149.44,149.92,148.50,148.64,9506497
20-Aug-13,149.91,150.41,149.56,149.75,3847369
19-Aug-13,150.30,150.72,149.66,149.74,4176832
16-Aug-13,150.58,151.06,150.19,150.50,7038021
15-Aug-13,152.10,152.10,150.97,151.12,10026942
14-Aug-13,154.27,154.43,153.11,153.32,6379094
13-Aug-13,154.42,154.97,153.34,154.44,4753247
12-Aug-13,153.45,154.30,153.35,154.03,3698424
9-Aug-13,154.49,154.95,153.33,154.11,4551573
8-Aug-13,155.33,155.45,153.99,154.69,5073671
7-Aug-13,154.32,154.75,154.01,154.54,4342571
6-Aug-13,155.37,155.38,154.41,154.85,3587415
5-Aug-13,155.91,156.01,155.50,155.79,3084225
2-Aug-13,155.47,156.24,155.23,156.20,3625316
1-Aug-13,155.89,156.16,155.67,155.89,4873389
31-Jul-13,155.12,156.03,154.56,154.84,11785926
30-Jul-13,155.40,155.58,154.42,154.91,4214125
29-Jul-13,154.86,155.14,154.45,154.93,2593489
26-Jul-13,154.48,155.25,153.67,155.16,3859958
25-Jul-13,154.54,155.25,154.20,155.12,5484765
24-Jul-13,155.61,155.70,154.61,155.10,3895536
23-Jul-13,155.57,155.67,155.08,155.36,3394058
22-Jul-13,155.12,155.42,154.81,155.11,3167358
19-Jul-13,154.88,155.14,154.57,155.12,4829561
18-Jul-13,154.98,155.74,154.56,155.34,6825708
17-Jul-13,154.64,154.85,154.18,154.44,6506403
16-Jul-13,154.60,154.74,153.93,154.30,3595111
15-Jul-13,154.56,154.87,154.33,154.64,2753702
12-Jul-13,154.42,154.76,153.89,154.17,6349892
11-Jul-13,154.35,154.62,153.71,154.38,5856974
10-Jul-13,152.77,153.29,152.36,152.71,6127237
9-Jul-13,152.71,152.99,152.22,152.79,5200623
8-Jul-13,151.78,152.43,151.68,152.02,4920505
5-Jul-13,150.72,151.09,149.41,151.02,5528650
3-Jul-13,148.42,149.98,148.25,149.54,2599135
2-Jul-13,149.15,150.21,148.40,148.93,4874913
1-Jul-13,149.52,150.50,149.22,149.42,4896791
28-Jun-13,149.32,150.03,148.47,148.55,6720074
27-Jun-13,149.69,150.42,149.55,149.90,6585589
26-Jun-13,148.30,149.07,147.97,148.79,6328787
25-Jun-13,147.41,147.80,146.62,147.30,7592801
24-Jun-13,146.33,147.43,145.17,146.28,14129325
21-Jun-13,148.03,148.28,146.53,147.73,10968531
20-Jun-13,149.84,149.88,147.29,147.58,14314714
19-Jun-13,152.94,153.22,151.05,151.09,9145127
18-Jun-13,151.96,153.36,151.92,153.10,4809134
17-Jun-13,151.63,152.58,151.05,151.78,6694917
14-Jun-13,151.60,152.01,150.39,150.66,4639220
13-Jun-13,149.74,151.99,149.48,151.76,6208421
12-Jun-13,152.18,152.35,149.70,149.86,6901818
11-Jun-13,151.08,152.42,150.70,151.20,7009158
10-Jun-13,152.79,152.88,151.98,152.21,4918497
7-Jun-13,151.16,152.44,150.70,152.32,8088461
6-Jun-13,149.38,150.27,148.31,150.25,15158447
5-Jun-13,151.22,151.43,149.29,149.31,9430759
4-Jun-13,152.26,152.91,150.82,151.64,7956672
3-Jun-13,151.54,152.36,151.10,152.31,10862992
31-May-13,152.61,153.73,150.90,151.10,7430025
30-May-13,152.86,153.80,152.60,153.10,8234245
29-May-13,153.02,153.25,152.02,152.84,7906402
28-May-13,154.21,154.98,153.48,153.88,9382211
24-May-13,152.16,152.82,151.73,152.77,4535593
23-May-13,151.67,153.24,151.55,152.77,10477550
22-May-13,153.71,155.14,152.35,152.84,12702999
21-May-13,153.28,154.02,152.89,153.51,5735290
20-May-13,153.04,153.56,152.82,153.04,4464792
17-May-13,152.42,153.24,152.21,153.14,5503197
16-May-13,152.64,153.11,152.24,152.45,8195236
15-May-13,151.88,153.11,151.86,152.78,5770886
14-May-13,150.88,152.17,150.86,152.13,5554715
13-May-13,150.75,151.01,150.48,150.86,3841438
10-May-13,150.91,151.10,150.29,151.04,4138160
9-May-13,150.90,151.37,150.39,150.84,3949581
8-May-13,150.13,150.96,150.10,150.94,4087947
7-May-13,149.77,150.28,149.44,150.26,5364417
6-May-13,149.36,149.60,149.14,149.43,3110780
3-May-13,149.26,149.82,149.20,149.36,5933481
2-May-13,147.12,148.05,146.91,147.96,4343510
1-May-13,147.56,147.81,146.58,146.74,5374065
30-Apr-13,147.87,148.11,147.05,148.02,8067613
29-Apr-13,147.20,148.15,146.91,147.86,6133287
26-Apr-13,146.55,147.15,146.52,146.88,3242580
25-Apr-13,146.64,147.42,146.36,146.76,4160812
24-Apr-13,147.02,147.21,146.39,146.45,4968388
23-Apr-13,146.13,146.90,145.15,146.80,10436186
22-Apr-13,145.38,145.57,144.24,145.32,11711968
19-Apr-13,144.71,145.21,144.36,145.14,6029959
18-Apr-13,146.10,146.12,144.77,145.18,8277018
17-Apr-13,146.55,146.60,145.37,145.95,10757043
16-Apr-13,146.98,147.39,146.37,147.36,6975301
15-Apr-13,147.90,147.93,145.72,145.81,14181170
12-Apr-13,147.99,148.46,147.68,148.42,8711328
11-Apr-13,147.82,148.66,147.63,148.40,6975523
10-Apr-13,146.98,148.06,146.96,147.78,7947555
9-Apr-13,146.08,146.96,145.75,146.51,5492255
8-Apr-13,145.02,145.95,144.76,145.95,3864981
5-Apr-13,144.18,145.51,144.05,145.31,7307414
4-Apr-13,145.36,145.98,145.09,145.77,7520482
3-Apr-13,146.24,146.47,144.95,145.14,7661523
2-Apr-13,145.87,146.50,145.78,146.27,5673122
1-Apr-13,145.30,145.73,144.97,145.35,8623870
28-Mar-13,145.01,145.53,144.84,145.32,4346068
27-Mar-13,144.35,145.08,144.06,144.96,4129138
26-Mar-13,144.67,145.29,144.63,145.28,4879025
25-Mar-13,145.09,145.32,143.60,144.21,9603116
22-Mar-13,144.31,144.94,144.28,144.90,5028567
21-Mar-13,144.12,144.59,143.49,143.89,6076519
20-Mar-13,144.86,145.15,144.59,144.81,5924809
19-Mar-13,144.51,144.83,143.48,144.30,9301670
18-Mar-13,143.85,144.88,143.70,144.17,5511255
15-Mar-13,144.82,144.89,144.39,144.82,10836714
14-Mar-13,144.81,145.35,144.76,145.33,5366152
13-Mar-13,144.44,144.71,144.09,144.46,4322037
12-Mar-13,144.29,144.70,144.03,144.40,5167311
11-Mar-13,143.73,144.36,143.61,144.36,4373292
8-Mar-13,143.95,144.02,143.21,143.76,5681064
7-Mar-13,142.98,143.39,142.90,143.14,3689370
6-Mar-13,142.91,143.07,142.49,142.84,4485025
5-Mar-13,141.69,142.68,141.69,142.34,7963431
4-Mar-13,140.36,141.10,140.10,141.07,3620655
1-Mar-13,139.89,140.90,139.17,140.74,6506847
28-Feb-13,140.45,141.31,140.18,140.28,11400070
27-Feb-13,138.74,140.87,138.64,140.60,7406248
26-Feb-13,138.35,138.96,137.98,138.78,9236059
25-Feb-13,140.33,140.59,137.60,137.66,10034930
22-Feb-13,139.24,139.83,138.86,139.81,4158936
21-Feb-13,138.65,138.88,138.06,138.51,7522263
20-Feb-13,140.00,140.28,138.88,138.88,5976243
19-Feb-13,139.56,140.16,139.52,139.97,3945901
15-Feb-13,139.51,139.71,138.75,139.45,6114373
14-Feb-13,139.38,139.96,139.26,139.86,3048777
13-Feb-13,140.23,140.36,139.50,139.87,3387704
12-Feb-13,139.59,140.21,139.51,140.05,3498954
11-Feb-13,139.62,139.68,139.21,139.52,2543470
8-Feb-13,139.37,140.03,139.37,139.73,3573803
7-Feb-13,139.59,139.64,138.32,139.29,6637911
6-Feb-13,138.88,139.70,138.88,139.58,3118099
5-Feb-13,139.24,139.85,139.21,139.39,5820224
4-Feb-13,138.81,138.98,138.36,138.57,6536165
1-Feb-13,139.29,139.89,139.04,139.74,5237382
31-Jan-13,138.76,140.22,138.32,138.41,3935235
30-Jan-13,139.23,139.37,138.67,138.76,5498888
29-Jan-13,138.44,139.38,138.44,139.23,3947869
28-Jan-13,138.85,138.88,138.30,138.65,3170223
25-Jan-13,138.39,138.63,138.04,138.62,4464027
24-Jan-13,137.59,138.49,137.57,138.02,6288916
23-Jan-13,137.19,137.63,137.14,137.46,6403008
22-Jan-13,136.13,136.77,135.92,136.74,4548605
18-Jan-13,135.81,136.16,135.42,136.09,4922772
